rh.aparc.curvind	rh_bankssts_curvind	rh_caudalanteriorcingulate_curvind	rh_caudalmiddlefrontal_curvind	rh_cuneus_curvind	rh_entorhinal_curvind	rh_fusiform_curvind	rh_inferiorparietal_curvind	rh_inferiortemporal_curvind	rh_isthmuscingulate_curvind	rh_lateraloccipital_curvind	rh_lateralorbitofrontal_curvind	rh_lingual_curvind	rh_medialorbitofrontal_curvind	rh_middletemporal_curvind	rh_parahippocampal_curvind	rh_paracentral_curvind	rh_parsopercularis_curvind	rh_parsorbitalis_curvind	rh_parstriangularis_curvind	rh_pericalcarine_curvind	rh_postcentral_curvind	rh_posteriorcingulate_curvind	rh_precentral_curvind	rh_precuneus_curvind	rh_rostralanteriorcingulate_curvind	rh_rostralmiddlefrontal_curvind	rh_superiorfrontal_curvind	rh_superiorparietal_curvind	rh_superiortemporal_curvind	rh_supramarginal_curvind	rh_frontalpole_curvind	rh_temporalpole_curvind	rh_transversetemporal_curvind	rh_insula_curvind	BrainSegVolNotVent	eTIV
128_S_0225.nii	0.8	0.7	3.6	4.0	0.7	4.8	8.9	5.1	1.5	9.1	4.4	6.8	3.9	4.9	1.0	2.0	2.4	1.2	1.8	2.3	5.5	1.6	9.2	5.9	0.4	10.0	12.9	9.8	3.9	5.0	1.2	0.9	0.6	4.6	869726.0	1330439.61661
021_S_0273.nii	1.8	2.2	3.5	5.1	0.6	6.6	15.0	7.2	2.8	19.1	6.7	10.7	5.6	9.6	1.0	2.7	2.7	3.4	3.0	3.9	9.5	3.3	10.3	11.0	1.9	18.2	14.4	14.6	6.3	6.5	1.8	1.6	0.9	6.6	1109633.0	1766893.15121
029_S_1384.nii	1.0	1.4	5.2	4.7	1.4	7.3	9.8	7.4	1.6	14.5	9.3	8.0	5.2	7.7	0.8	2.8	2.2	2.9	3.5	3.6	6.0	4.3	9.4	10.4	1.5	18.0	19.8	11.3	4.1	6.3	1.2	2.3	0.5	7.3	1097353.0	1713025.23457
014_S_0169.nii	0.8	1.0	3.4	3.9	0.5	5.9	9.5	7.0	2.6	13.1	6.4	9.2	5.5	5.9	0.5	2.6	1.8	2.1	2.4	3.8	5.6	2.5	7.7	6.3	2.2	14.1	14.8	7.3	5.7	6.5	1.2	1.8	0.4	6.7	1069012.0	1531117.38507
141_S_1052.nii	0.9	0.8	3.7	3.2	0.6	5.3	10.2	7.1	1.6	11.0	5.7	6.6	4.0	6.4	0.5	2.7	2.4	1.9	2.8	2.4	4.7	1.5	7.0	9.4	0.9	10.6	13.2	8.6	3.7	4.7	1.1	0.8	0.4	4.6	994316.0	1452094.1072
032_S_0978.nii	1.0	0.7	5.3	6.6	1.3	5.7	10.6	7.7	1.9	13.5	7.4	9.8	4.8	6.4	0.7	2.4	1.9	2.6	2.2	3.7	6.6	2.4	9.5	8.8	0.9	17.4	16.4	10.0	5.5	6.3	0.8	1.0	0.5	5.9	1112352.0	1615662.31165
016_S_1263.nii	0.9	0.8	2.9	3.2	1.0	5.0	6.9	4.5	0.7	8.4	4.7	6.7	3.1	5.1	0.6	3.3	1.8	1.6	2.3	2.8	7.0	1.1	8.7	8.7	0.9	12.0	11.7	7.8	4.9	7.2	0.6	1.1	0.3	4.3	952557.0	1410075.70869
014_S_0557.nii	0.9	1.3	2.4	3.2	0.5	5.8	7.0	7.1	1.4	10.0	6.3	7.0	3.4	6.0	0.5	2.4	2.4	1.5	1.7	2.9	5.7	1.7	6.4	6.2	1.3	9.9	9.5	7.7	4.9	6.4	1.0	1.1	0.3	5.1	1084822.0	1586779.17603
053_S_1044.nii	1.0	0.6	3.4	3.4	0.6	5.4	8.6	4.4	1.5	9.5	6.2	7.1	3.4	5.2	0.4	1.8	1.6	1.1	2.0	2.4	5.3	2.0	7.6	6.1	1.4	11.1	13.3	7.6	4.4	6.4	0.6	0.9	0.4	4.4	1073740.0	1639239.10586
027_S_1387.nii	1.0	1.6	3.4	3.2	0.8	7.0	7.9	5.6	1.6	11.2	8.6	7.1	3.5	5.0	0.8	2.8	2.6	3.8	2.6	2.2	5.1	1.9	7.9	5.5	1.8	11.5	12.5	7.7	4.3	5.5	0.8	1.0	0.5	5.0	881445.0	1460072.4659
