rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
128_S_0225.nii	6.0	15.0	25.0	55.0	5.0	49.0	80.0	49.0	18.0	85.0	42.0	57.0	48.0	47.0	9.0	15.0	22.0	10.0	20.0	23.0	42.0	24.0	64.0	57.0	6.0	97.0	107.0	86.0	41.0	48.0	11.0	7.0	5.0	28.0	869726.0	1330439.61661
021_S_0273.nii	13.0	24.0	31.0	42.0	6.0	60.0	124.0	64.0	26.0	133.0	60.0	73.0	63.0	90.0	8.0	16.0	22.0	32.0	25.0	26.0	83.0	34.0	64.0	83.0	19.0	155.0	105.0	108.0	54.0	53.0	16.0	10.0	6.0	48.0	1109633.0	1766893.15121
029_S_1384.nii	9.0	31.0	35.0	43.0	10.0	65.0	97.0	75.0	20.0	138.0	83.0	72.0	54.0	68.0	10.0	23.0	19.0	24.0	29.0	40.0	58.0	43.0	69.0	92.0	17.0	150.0	159.0	107.0	43.0	55.0	9.0	16.0	4.0	47.0	1097353.0	1713025.23457
014_S_0169.nii	6.0	18.0	31.0	36.0	7.0	61.0	95.0	65.0	25.0	115.0	59.0	84.0	58.0	49.0	8.0	19.0	17.0	17.0	25.0	42.0	53.0	26.0	66.0	62.0	21.0	115.0	123.0	76.0	57.0	63.0	11.0	14.0	5.0	48.0	1069012.0	1531117.38507
141_S_1052.nii	9.0	19.0	31.0	33.0	4.0	50.0	105.0	68.0	20.0	91.0	54.0	64.0	53.0	69.0	6.0	21.0	23.0	20.0	27.0	20.0	43.0	17.0	56.0	84.0	16.0	104.0	120.0	88.0	37.0	52.0	10.0	7.0	4.0	39.0	994316.0	1452094.1072
032_S_0978.nii	7.0	15.0	36.0	56.0	7.0	53.0	90.0	69.0	21.0	114.0	62.0	89.0	47.0	62.0	7.0	14.0	15.0	21.0	19.0	33.0	50.0	37.0	66.0	74.0	9.0	141.0	142.0	80.0	40.0	55.0	6.0	11.0	4.0	32.0	1112352.0	1615662.31165
016_S_1263.nii	5.0	14.0	23.0	30.0	9.0	51.0	66.0	48.0	10.0	81.0	45.0	59.0	35.0	54.0	6.0	19.0	17.0	16.0	23.0	27.0	59.0	13.0	54.0	82.0	15.0	98.0	107.0	82.0	47.0	62.0	7.0	10.0	3.0	31.0	952557.0	1410075.70869
014_S_0557.nii	9.0	21.0	23.0	30.0	4.0	58.0	73.0	77.0	15.0	103.0	55.0	69.0	37.0	67.0	8.0	20.0	22.0	20.0	17.0	28.0	58.0	21.0	56.0	66.0	18.0	101.0	122.0	73.0	51.0	64.0	9.0	9.0	3.0	60.0	1084822.0	1586779.17603
053_S_1044.nii	10.0	18.0	31.0	32.0	6.0	60.0	78.0	46.0	21.0	95.0	53.0	67.0	45.0	57.0	8.0	14.0	14.0	16.0	22.0	24.0	44.0	32.0	61.0	58.0	21.0	114.0	117.0	77.0	50.0	54.0	8.0	9.0	5.0	33.0	1073740.0	1639239.10586
027_S_1387.nii	6.0	26.0	22.0	26.0	8.0	50.0	74.0	41.0	18.0	97.0	54.0	59.0	38.0	48.0	8.0	19.0	20.0	21.0	19.0	21.0	43.0	24.0	54.0	48.0	22.0	92.0	86.0	70.0	40.0	45.0	11.0	7.0	6.0	33.0	881445.0	1460072.4659
